audiofile,sg_dur,vv_num,sg_dur_norm,order
SP2010_AliceM_126_merged,310,2,3.08,1
SP2010_AliceM_126_merged,1320,12,3.04,2
SP2010_AliceM_126_merged,1460,10,4.78,3
SP2010_AliceM_128_merged,2400,15,21.21,1
SP2010_AliceM_128_merged,1280,6,1.33,2
SP2010_AliceM_129_merged,1080,3,42.07,1
SP2010_AliceM_129_merged,2850,7,23.70,2
SP2010_AliceM_129_merged,1090,10,-0.53,3
SP2010_AliceM_138_merged,380,3,0.92,1
SP2010_AliceM_138_merged,1660,5,15.03,2
SP2010_AliceM_138_merged,1300,4,11.71,3
SP2010_AliceM_138_merged,410,3,0.59,4
SP2010_AliceM_147_merged,1060,7,22.17,1
SP2010_AliceM_147_merged,1160,7,14.04,2
SP2010_AliceM_147_merged,1020,5,-0.29,3
SP2010_AliceM_151_merged,570,2,8.61,1
SP2010_AliceM_151_merged,550,3,11.11,2
SP2010_AliceM_151_merged,1510,5,28.05,3
SP2010_AliceM_154_merged,480,4,-1.62,1
SP2010_AliceM_154_merged,1510,11,11.34,2
SP2010_AliceM_154_merged,1190,6,2.84,3
SP2010_AliceM_156_merged,540,4,-0.30,1
SP2010_AliceM_156_merged,1180,8,10.15,2
SP2010_AliceM_156_merged,1160,8,5.07,3
SP2010_AliceM_156_merged,660,5,2.79,4
SP2010_AliceM_162_merged,370,2,2.04,1
SP2010_AliceM_162_merged,1090,10,-0.52,2
SP2010_AliceM_162_merged,1090,7,17.40,3
SP2010_AliceM_162_merged,670,5,7.25,4
SP2010_AliceM_165_merged,3000,9,42.79,1
SP2010_AliceM_165_merged,740,5,9.76,2
SP2010_AliceM_165_merged,730,7,-0.48,3
SP2010_AliceM_165_merged,580,7,-0.89,4
SP2010_AliceM_168_merged,220,2,-2.12,1
SP2010_AliceM_168_merged,310,4,-2.64,2
SP2010_AliceM_168_merged,310,3,-1.78,3
SP2010_AliceM_168_merged,90,2,-1.93,4
SP2010_AliceM_168_merged,710,6,18.00,5
SP2010_AliceM_168_merged,1410,4,18.62,6
SP2010_AliceM_168_merged,360,4,-1.08,7
SP2010_AliceM_172_merged,970,4,14.07,1
SP2010_AliceM_172_merged,670,5,3.07,2
SP2010_AliceM_172_merged,1730,6,18.17,3
SP2010_AliceM_175_merged,240,2,-0.67,1
SP2010_AliceM_175_merged,770,7,0.36,2
SP2010_AliceM_175_merged,2350,7,44.61,3
SP2010_AliceM_175_merged,500,4,-2.16,4
SP2010_AliceM_179_merged,610,5,1.85,1
SP2010_AliceM_179_merged,1680,13,3.69,2
SP2010_AliceM_179_merged,840,7,3.45,3
SP2010_AliceM_179_merged,1130,5,14.87,4
SP2010_AliceM_189_merged,930,3,12.87,1
SP2010_AliceM_189_merged,1830,3,32.66,2
SP2010_AliceM_192_merged,630,5,0.95,1
SP2010_AliceM_192_merged,1100,9,-1.01,2
SP2010_AliceM_192_merged,370,2,0.42,3
SP2010_AliceM_192_merged,410,4,0.69,4
SP2010_AliceM_192_merged,950,9,1.52,5
SP2010_AliceM_210_merged,530,2,13.73,1
SP2010_AliceM_210_merged,1730,12,2.84,2
SP2010_AliceM_210_merged,590,4,1.01,3
SP2010_AliceM_210_merged,560,5,-2.08,4
SP2010_AliceM_212_merged,280,2,6.79,1
SP2010_AliceM_212_merged,1200,8,1.07,2
SP2010_AliceM_212_merged,1450,11,7.27,3
SP2010_AliceM_212_merged,1130,7,4.80,4
SP2010_AliceM_212_merged,590,5,3.84,5
SP2010_AliceM_218_merged,420,1,18.06,1
SP2010_AliceM_218_merged,1600,7,2.52,2
SP2010_AliceM_218_merged,1000,8,-0.24,3
SP2010_AliceM_247_merged,560,4,1.54,1
SP2010_AliceM_247_merged,270,3,2.73,2
SP2010_AliceM_247_merged,1020,6,6.92,3
SP2010_AliceM_247_merged,1450,8,0.98,4
SP2010_AliceM_264_merged,1390,1,19.39,1
SP2010_AliceM_264_merged,400,4,-0.11,2
SP2010_AliceM_264_merged,250,4,-2.27,3
SP2010_AliceM_264_merged,350,4,-1.09,4
SP2010_AliceM_264_merged,330,4,0.87,5
SP2010_AliceM_264_merged,250,2,-1.53,6
SP2010_AliceM_264_merged,840,8,3.88,7
SP2010_AliceM_281_merged,220,2,-0.04,1
SP2010_AliceM_281_merged,520,4,0.32,2
SP2010_AliceM_281_merged,1250,8,4.12,3
SP2010_AliceM_281_merged,1620,6,19.25,4
SP2010_AliceM_281_merged,1600,12,5.69,5
SP2010_AliceM_287_merged,500,4,0.20,1
SP2010_AliceM_287_merged,1810,6,22.10,2
SP2010_AliceM_287_merged,900,5,-1.50,3
SP2010_AliceM_287_merged,1190,8,39.40,4
SP2010_AliceM_287_merged,460,4,-0.75,5
SP2010_AliceM_289_merged,850,4,18.30,1
SP2010_AliceM_289_merged,2140,4,35.34,2
SP2010_AliceM_289_merged,930,3,23.53,3
SP2010_AliceM_316_merged,1090,2,34.45,1
SP2010_AliceM_316_merged,1750,3,44.03,2
SP2010_AliceM_336_merged,1810,5,31.60,1
SP2010_AliceM_336_merged,1090,2,25.21,2
SP2010_AliceM_342_merged,1650,5,18.20,1
SP2010_AliceM_Isolated_1296,200,2,-1.77,1
SP2010_AliceM_Isolated_1296,380,5,-2.14,2
SP2010_AliceM_Isolated_1296,130,2,-2.37,3
SP2010_AliceM_Isolated_1296,840,6,5.82,4
SP2010_AliceM_Isolated_1296,1580,8,18.92,5
SP2010_AmadeuC_008_merged,800,3,5.73,1
SP2010_AmadeuC_008_merged,1690,4,66.87,2
SP2010_AmadeuC_008_merged,880,4,10.87,3
SP2010_AmadeuC_008_merged,1470,7,9.53,4
SP2010_AmadeuC_008_merged,810,3,3.82,5
SP2010_AmadeuC_029_merged,1700,3,21.73,1
SP2010_AmadeuC_029_merged,1140,5,1.43,2
SP2010_AmadeuC_029_merged,1410,6,7.77,3
SP2010_AmadeuC_033_merged,310,2,0.24,1
SP2010_AmadeuC_033_merged,750,5,2.55,2
SP2010_AmadeuC_033_merged,920,7,-0.04,3
SP2010_AmadeuC_092_merged,1550,1,108.46,1
SP2010_AmadeuC_092_merged,840,4,16.87,2
SP2010_AmadeuC_092_merged,990,5,3.40,3
SP2010_AmadeuC_098_merged,2400,6,91.38,1
SP2010_AmadeuC_098_merged,1180,4,13.53,2
SP2010_AmadeuC_103_merged,3650,3,220.87,1
SP2010_AmadeuC_113_merged,380,2,1.88,1
SP2010_AmadeuC_113_merged,2920,7,37.37,2
SP2010_AmadeuC_113_merged,1020,5,8.31,3
SP2010_AmadeuC_129_merged,540,2,10.36,1
SP2010_AmadeuC_129_merged,3050,9,18.57,2
SP2010_AmadeuC_129_merged,640,2,11.60,3
SP2010_AmadeuC_135_merged,1110,1,39.35,1
SP2010_AmadeuC_135_merged,3040,7,65.57,2
SP2010_AmadeuC_136_merged,990,5,14.63,1
SP2010_AmadeuC_136_merged,2540,13,1.14,2
SP2010_AmadeuC_150_merged,330,2,0.46,1
SP2010_AmadeuC_150_merged,900,6,2.25,2
SP2010_AmadeuC_150_merged,410,4,1.53,3
SP2010_AmadeuC_150_merged,1090,7,5.22,4
SP2010_AmadeuC_155_merged,620,2,4.61,1
SP2010_AmadeuC_155_merged,1390,7,0.63,2
SP2010_AmadeuC_155_merged,270,2,1.96,3
SP2010_AmadeuC_155_merged,790,5,0.71,4
SP2010_AmadeuC_156_merged,260,1,2.15,1
SP2010_AmadeuC_156_merged,290,2,0.81,2
SP2010_AmadeuC_156_merged,2190,9,11.99,3
SP2010_AmadeuC_163_merged,1670,8,5.30,1
SP2010_AmadeuC_165_merged,330,2,0.48,1
SP2010_AmadeuC_165_merged,2650,7,60.05,2
SP2010_AmadeuC_165_merged,1180,5,-0.19,3
SP2010_AmadeuC_191_merged,2160,6,38.58,1
SP2010_AmadeuC_191_merged,2260,10,5.95,2
SP2010_AmadeuC_191_merged,580,3,4.53,3
SP2010_AmadeuC_194_merged,740,3,7.29,1
SP2010_AmadeuC_194_merged,2980,11,47.42,2
SP2010_AmadeuC_215_merged,2090,7,65.91,1
SP2010_AmadeuC_219_merged,600,2,2.46,1
SP2010_AmadeuC_219_merged,700,4,5.00,2
SP2010_AmadeuC_219_merged,700,3,4.44,3
SP2010_AmadeuC_219_merged,1490,6,8.94,4
SP2010_AmadeuC_219_merged,600,4,0.79,5
SP2010_AmadeuC_225_merged,2360,7,27.98,1
SP2010_AmadeuC_230_merged,870,5,1.56,1
SP2010_AmadeuC_230_merged,1030,5,1.77,2
SP2010_AmadeuC_230_merged,1120,6,0.48,3
SP2010_AmadeuC_249_merged,1460,2,19.05,1
SP2010_AmadeuC_249_merged,1570,8,1.88,2
SP2010_AmadeuC_249_merged,870,4,6.92,3
SP2010_AmadeuC_250_merged,2420,4,67.76,1
SP2010_AmadeuC_276_merged,570,2,8.45,1
SP2010_AmadeuC_276_merged,480,3,2.23,2
SP2010_AmadeuC_276_merged,990,4,26.29,3
SP2010_AmadeuC_276_merged,1460,10,2.94,4
SP2010_AmadeuC_281_merged,2200,7,39.68,1
SP2010_AmadeuC_281_merged,1710,8,4.00,2
SP2010_AmadeuC_281_merged,620,4,1.07,3
SP2010_AmadeuC_287_merged,910,1,26.90,1
SP2010_AmadeuC_287_merged,2020,5,19.27,2
SP2010_AmadeuC_288_merged,2150,6,51.20,1
SP2010_AmadeuC_288_merged,930,5,6.51,2
SP2010_AmadeuC_305_merged,2180,9,66.87,1
SP2010_AmadeuC_305_merged,1660,6,11.59,2
SP2010_AmadeuC_305_merged,1520,7,5.09,3
SP2010_AmadeuC_309_merged,380,2,15.50,1
SP2010_AmadeuC_309_merged,2080,7,23.96,2
SP2010_AmadeuC_309_merged,740,3,4.38,3
SP2010_AmadeuC_316_merged,1280,5,17.24,1
SP2010_AmadeuC_316_merged,1770,10,5.49,2
SP2010_AmadeuC_Isolated_0592,430,3,0.40,1
SP2010_AmadeuC_Isolated_0592,790,4,6.11,2
SP2010_AmadeuC_Isolated_0592,1520,7,7.07,3
SP2010_AmadeuC_Isolated_0592,890,4,4.52,4
SP2010_AmadeuC_Isolated_0712,900,5,-0.59,1
SP2010_AmadeuC_Isolated_0712,500,4,0.12,2
SP2010_AmadeuC_Isolated_0712,1110,7,6.71,3
SP2010_AmadeuC_Isolated_0712,1040,5,0.98,4
SP2010_AmadeuC_Isolated_0766,730,5,4.50,1
SP2010_AmadeuC_Isolated_0766,630,3,1.86,2
SP2010_AmadeuC_Isolated_0766,1110,7,2.62,3
SP2010_AmadeuC_Isolated_0766,770,5,-1.10,4
SP2010_AmadeuC_Isolated_0766,1390,8,2.73,5
SP2010_AnaS_000_merged,290,2,-1.34,1
SP2010_AnaS_000_merged,530,4,-0.74,2
SP2010_AnaS_000_merged,1980,5,66.00,3
SP2010_AnaS_001_merged,190,2,2.87,1
SP2010_AnaS_001_merged,1870,7,43.40,2
SP2010_AnaS_001_merged,1270,5,9.23,3
SP2010_AnaS_002_merged,3070,3,149.53,1
SP2010_AnaS_006_merged,2040,6,26.32,1
SP2010_AnaS_006_merged,2680,8,70.84,2
SP2010_AnaS_013_merged,190,2,-1.33,1
SP2010_AnaS_013_merged,770,5,10.58,2
SP2010_AnaS_013_merged,2790,6,90.16,3
SP2010_AnaS_013_merged,630,4,1.01,4
SP2010_AnaS_013_merged,540,4,4.07,5
SP2010_AnaS_016_merged,610,5,-1.93,1
SP2010_AnaS_016_merged,950,4,11.78,2
SP2010_AnaS_016_merged,2060,10,42.07,3
SP2010_AnaS_020_merged,970,8,1.05,1
SP2010_AnaS_020_merged,580,4,1.42,2
SP2010_AnaS_020_merged,500,6,-2.63,3
SP2010_AnaS_020_merged,1140,9,0.92,4
SP2010_AnaS_020_merged,710,5,2.25,5
SP2010_AnaS_021_merged,990,1,47.53,1
SP2010_AnaS_021_merged,1650,8,6.34,2
SP2010_AnaS_021_merged,1350,9,-1.03,3
SP2010_AnaS_021_merged,510,3,-0.37,4
SP2010_AnaS_022_merged,1230,5,16.92,1
SP2010_AnaS_022_merged,620,4,1.32,2
SP2010_AnaS_022_merged,760,5,0.19,3
SP2010_AnaS_023_merged,410,1,16.24,1
SP2010_AnaS_023_merged,1820,13,0.78,2
SP2010_AnaS_023_merged,1250,8,10.61,3
SP2010_AnaS_044_merged,1490,1,73.84,1
SP2010_AnaS_044_merged,1560,8,2.32,2
SP2010_AnaS_058_merged,340,2,2.73,1
SP2010_AnaS_058_merged,1250,4,26.66,2
SP2010_AnaS_058_merged,2070,11,0.58,3
SP2010_AnaS_060_merged,1870,7,39.11,1
SP2010_AnaS_060_merged,1180,12,4.89,2
SP2010_AnaS_060_merged,1410,13,0.15,3
SP2010_AnaS_060_merged,990,8,4.00,4
SP2010_AnaS_066_merged,410,1,7.42,1
SP2010_AnaS_066_merged,1190,3,43.08,2
SP2010_AnaS_066_merged,1940,12,1.81,3
SP2010_AnaS_070_merged,860,7,-2.06,1
SP2010_AnaS_070_merged,90,2,-1.13,2
SP2010_AnaS_070_merged,140,2,1.53,3
SP2010_AnaS_070_merged,730,6,4.92,4
SP2010_AnaS_070_merged,620,4,0.20,5
SP2010_AnaS_070_merged,570,4,0.91,6
SP2010_AnaS_070_merged,910,7,3.51,7
SP2010_AnaS_073_merged,370,1,8.36,1
SP2010_AnaS_073_merged,2010,7,33.88,2
SP2010_AnaS_073_merged,2020,13,1.27,3
SP2010_AnaS_082_merged,280,2,-0.43,1
SP2010_AnaS_082_merged,1810,5,10.70,2
SP2010_AnaS_082_merged,1330,8,1.15,3
SP2010_AnaS_082_merged,350,2,1.88,4
SP2010_AnaS_086_merged,740,2,20.07,1
SP2010_AnaS_086_merged,1000,3,18.87,2
SP2010_AnaS_086_merged,1170,4,30.00,3
SP2010_AnaS_106_merged,1640,9,6.48,1
SP2010_AnaS_106_merged,1470,5,20.08,2
SP2010_AnaS_106_merged,900,7,-1.50,3
SP2010_AnaS_106_merged,170,2,0.00000000000001,4
SP2010_AnaS_106_merged,670,6,-1.27,5
SP2010_AnaS_122_merged,340,3,-0.47,1
SP2010_AnaS_122_merged,1730,8,33.72,2
SP2010_AnaS_122_merged,690,7,-0.90,3
SP2010_AnaS_122_merged,590,5,-0.54,4
SP2010_AnaS_122_merged,960,7,21.85,5
SP2010_AnaS_127_merged,200,1,0.89,1
SP2010_AnaS_127_merged,580,2,5.75,2
SP2010_AnaS_127_merged,1190,7,5.03,3
SP2010_AnaS_127_merged,1240,10,1.63,4
SP2010_AnaS_149_merged,1500,9,7.28,1
SP2010_AnaS_149_merged,1790,8,22.76,2
SP2010_AnaS_154_merged,960,4,2.16,1
SP2010_AnaS_154_merged,1860,6,12.34,2
SP2010_AnaS_154_merged,1190,7,-0.29,3
SP2010_AnaS_158_merged,1110,9,1.74,1
SP2010_AnaS_158_merged,300,2,1.52,2
SP2010_AnaS_158_merged,1370,6,11.03,3
SP2010_AnaS_158_merged,810,3,7.77,4
SP2010_AnaS_162_merged,410,1,10.67,1
SP2010_AnaS_162_merged,1480,11,1.54,2
SP2010_AnaS_162_merged,1350,11,0.93,3
SP2010_AnaS_162_merged,1030,6,1.36,4
SP2010_AnaS_166_merged,760,3,2.88,1
SP2010_AnaS_166_merged,2460,10,24.87,2
SP2010_AnaS_169_merged,490,4,0.86,1
SP2010_AnaS_169_merged,2240,12,25.38,2
SP2010_AnaS_172_merged,170,2,0.35,1
SP2010_AnaS_172_merged,850,4,16.35,2
SP2010_AnaS_172_merged,1430,4,15.78,3
SP2010_AnaS_172_merged,1850,8,1.85,4
SP2010_AnaS_178_merged,680,5,1.11,1
SP2010_AnaS_178_merged,1280,12,-0.000000000000003,2
SP2010_AnaS_178_merged,750,8,-0.80,3
SP2010_AnaS_178_merged,710,6,-0.03,4
SP2010_AnaS_185_merged,340,1,3.07,1
SP2010_AnaS_185_merged,1430,6,5.74,2
SP2010_AnaS_185_merged,1020,7,-0.52,3
SP2010_AnaS_185_merged,870,7,2.00,4
SP2010_AnaS_193_merged,570,2,17.53,1
SP2010_AnaS_193_merged,740,5,-1.65,2
SP2010_AnaS_193_merged,630,5,0.92,3
SP2010_AnaS_193_merged,2010,15,1.37,4
SP2010_AnaS_196_merged,170,2,-1.42,1
SP2010_AnaS_196_merged,980,7,1.41,2
SP2010_AnaS_196_merged,2720,10,46.07,3
SP2010_AnaS_200_merged,1540,6,20.07,1
SP2010_AnaS_200_merged,1650,11,-0.51,2
SP2010_AnaS_203_merged,390,4,-1.49,1
SP2010_AnaS_203_merged,1040,9,1.21,2
SP2010_AnaS_203_merged,1340,7,4.07,3
SP2010_AnaS_229_merged,170,1,4.37,1
SP2010_AnaS_229_merged,490,5,1.40,2
SP2010_AnaS_229_merged,1630,6,31.31,3
SP2010_AnaS_229_merged,2710,9,67.71,4
SP2010_AnaS_231_merged,790,6,6.99,1
SP2010_AnaS_231_merged,590,4,0.77,2
SP2010_AnaS_231_merged,780,6,-1.16,3
SP2010_AnaS_231_merged,1220,8,2.64,4
SP2010_AnaS_249_merged,1560,6,35.36,1
SP2010_AnaS_249_merged,1570,5,15.23,2
SP2010_AnaS_249_merged,1140,4,6.29,3
SP2010_AnaS_249_merged,1330,9,4.72,4
SP2010_AnaS_255_merged,460,2,6.92,1
SP2010_AnaS_255_merged,1180,9,0.88,2
SP2010_AnaS_255_merged,390,3,1.50,3
SP2010_AnaS_255_merged,800,6,0.27,4
SP2010_AnaS_255_merged,930,7,1.02,5
SP2010_AnaS_258_merged,270,1,2.12,1
SP2010_AnaS_258_merged,860,4,4.06,2
SP2010_AnaS_258_merged,2800,10,9.40,3
SP2010_AnaS_259_merged,280,2,-1.27,1
SP2010_AnaS_259_merged,840,5,7.69,2
SP2010_AnaS_259_merged,2300,8,16.29,3
